id;names;date_x;score;genre;status;orig_lang;country
276;3-D Sex and Zen: Extreme Ecstasy;04/14/2011 ;48.0;Drama, Adventure, Romance, Action, History; Released; Cantonese;HK
277;Control;09/23/2022 ;54.0;Science Fiction, Thriller, Mystery; Released; English;US
278;Mortal Kombat;04/22/2021 ;71.0;Action, Fantasy, Adventure; Released; English;AU
279;Mortal Kombat;04/22/2021 ;71.0;Action, Fantasy, Adventure; Released; English;AU
280;Pirates of the Caribbean: The Curse of the Black Pearl;09/11/2003;78.0;Adventure, Fantasy, Action; Released; English;AU
281;Clifford the Big Red Dog;12/30/2021 ;72.0;Family, Adventure, Comedy, Fantasy; Released; English;AU
282;Dragon Knight;03/21/2022 ;69.0;Fantasy, Adventure, Action; Released; English;GB
283;Cruella;05/27/2021 ;81.0;Comedy, Crime; Released; English;AU
284;The Suicide Squad;08/05/2021;76.0;Action, Comedy, Adventure; Released; English;AU
285;Drifting Home;09/16/2022 ;76.0;Animation, Drama, Fantasy, Adventure; Released; Japanese;JP
286;The Bad Guys;03/31/2022 ;77.0;Animation, Action, Adventure, Crime, Comedy, Family; Released; English;AU
287;The Remaining;09/05/2014;59.0;Thriller, Horror; Released; English;US
288;The Last: Naruto the Movie;12/06/2014;78.0;Action, Romance, Animation; Released; Japanese;JP
289;Pirates of the Caribbean: On Stranger Tides;05/19/2011 ;65.0;Adventure, Action, Fantasy; Released; English;AU
290;There's Something Wrong with the Children;01/17/2023 ;61.0;Horror, Mystery, Thriller; Released; English;US
291;Prom Pact;03/31/2023 ;75.0;Romance, Comedy; Released; English;AU
292;Coco;12/26/2017 ;82.0;Family, Animation, Fantasy, Music, Comedy, Adventure; Released; English;AU
293;The Sea Beast;07/08/2022;75.0;Animation, Adventure, Family, Fantasy; Released; English;AU
294;Toy Story;12/07/1995;80.0;Animation, Adventure, Family, Comedy; Released; English;AU
295;The Boss Baby: Family Business;11/25/2021 ;75.0;Animation, Comedy, Adventure, Family; Released; English;AU
296;Housewife Sex Slaves: Hatano Yui;01/09/2015;0.0;; Released; Japanese;JP
297;The Independent;11/02/2022;73.0;Thriller, Drama; Released; English;US
298;Joseph;04/16/1995 ;82.0;Drama, History; Released; English;US
299;Fullmetal Alchemist: The Revenge of Scar;05/20/2022 ;68.0;Fantasy, Action, Adventure; Released; Japanese;JP
300;Titanic;12/18/1997 ;79.0;Drama, Romance; Released; English;AU
301;The Hunger Games: Mockingjay - Part 1;11/20/2014 ;68.0;Science Fiction, Adventure, Thriller; Released; English;AU
302;The Autopsy of Jane Doe;12/09/2016;67.0;Horror, Mystery; Released; English;AU
303;Corrective Measures;04/29/2022 ;52.0;Action, Science Fiction, Thriller; Released; English;US
304;The Jack in the Box: Awakening;01/03/2022;64.0;Horror; Released; English;GB
